sampleID	genomicsSampleID
DEJU_001-M-20.5-37.5-20180619	DEJU_001-M-20180619-COMP
DEJU_001-M-2-34.5-20180619	DEJU_001-M-20180619-COMP
DEJU_001-M-24.5-6.5-20180619	DEJU_001-M-20180619-COMP
DEJU_002-O-21.5-30-20180619	DEJU_002-O-20180619-COMP
DEJU_002-O-12.5-31-20180619	DEJU_002-O-20180619-COMP
DEJU_002-O-9-18-20180619	DEJU_002-O-20180619-COMP
DEJU_002-M-12.5-31-20180619	DEJU_002-M-20180619-COMP
DEJU_002-M-9-18-20180619	DEJU_002-M-20180619-COMP
DEJU_002-M-21.5-30-20180619	DEJU_002-M-20180619-COMP
DEJU_009-O-35.5-8-20180619	DEJU_009-O-20180619-COMP
DEJU_009-O-36.5-23.5-20180619	DEJU_009-O-20180619-COMP
DEJU_009-O-16.5-31.5-20180619	DEJU_009-O-20180619-COMP
DEJU_009-M-16.5-31.5-20180619	DEJU_009-M-20180619-COMP
DEJU_009-M-35.5-8-20180619	DEJU_009-M-20180619-COMP
DEJU_009-M-36.5-23.5-20180619	DEJU_009-M-20180619-COMP
DEJU_015-O-37-30-20180619	DEJU_015-O-20180619-COMP
DEJU_015-O-15.5-2.5-20180619	DEJU_015-O-20180619-COMP
DEJU_015-O-22-5.5-20180619	DEJU_015-O-20180619-COMP
DEJU_015-M-37-30-20180619	DEJU_015-M-20180619-COMP
DEJU_015-M-22-5.5-20180619	DEJU_015-M-20180619-COMP
DEJU_015-M-15.5-2.5-20180619	DEJU_015-M-20180619-COMP
DEJU_048-O-16.5-8-20180621	DEJU_048-O-20180621-COMP
DEJU_048-O-36.5-25.5-20180621	DEJU_048-O-20180621-COMP
DEJU_048-O-20.5-7.5-20180621	DEJU_048-O-20180621-COMP
DEJU_047-O-39-21.5-20180621	DEJU_047-O-20180621-COMP
DEJU_047-O-2.5-32.5-20180621	DEJU_047-O-20180621-COMP
DEJU_047-O-32-18.5-20180621	DEJU_047-O-20180621-COMP
DEJU_047-M-2.5-32.5-20180621	DEJU_047-M-20180621-COMP
DEJU_047-M-32-18.5-20180621	DEJU_047-M-20180621-COMP
DEJU_047-M-39-21.5-20180621	DEJU_047-M-20180621-COMP
DEJU_048-M-16.5-8-20180621	DEJU_048-M-20180621-COMP
DEJU_048-M-20.5-7.5-20180621	DEJU_048-M-20180621-COMP
DEJU_048-M-36.5-25.5-20180621	DEJU_048-M-20180621-COMP
DEJU_045-O-7.5-30-20180621	DEJU_045-O-20180621-COMP
DEJU_045-O-37.5-28-20180621	DEJU_045-O-20180621-COMP
DEJU_045-O-33.5-0-20180621	DEJU_045-O-20180621-COMP
DEJU_045-M-33.5-0-20180621	DEJU_045-M-20180621-COMP
DEJU_045-M-37.5-28-20180621	DEJU_045-M-20180621-COMP
DEJU_045-M-7.5-30-20180621	DEJU_045-M-20180621-COMP
DEJU_046-O-15-0-20180621	DEJU_046-O-20180621-COMP
DEJU_046-O-32.5-5-20180621	DEJU_046-O-20180621-COMP
DEJU_046-O-2.5-20.5-20180621	DEJU_046-O-20180621-COMP
DEJU_046-M-15-0-20180621	DEJU_046-M-20180621-COMP
DEJU_046-M-32.5-5-20180621	DEJU_046-M-20180621-COMP
